All causes,Alzheimer,CLRD,Cancer,Diabetes,Heart,Pneumonia,Kidney,Stroke,Suicide,Injuries,Geo,State
1025.4192589496956,31.301185653524943,61.338528010137715,215.54847428837198,26.919862224229394,251.5469441954205,20.03191625605802,22.054065531117505,54.09249310784122,13.77589193634274,56.072514273003634,South,Alabama
81.07554749691623,1.5166119562946137,4.086426660016042,19.694891376881444,2.2538538794933842,15.566336606968324,1.2217151870151055,1.116394912272424,3.5387612313540986,3.012159857640691,8.109661155186476,North,Alaska
1019.1000424651347,49.45840101916323,66.68879796706592,225.17474739985306,36.65145561045316,224.58495386129405,14.534197914490047,8.32030170467184,45.245590029455975,24.434303740302113,65.21431412066839,South,Arizona
624.6124213889469,21.106183058433373,41.81214907284456,136.85316500064033,19.12616189327096,150.9871458711082,15.31356794758589,16.57741124449807,35.640380972923424,9.731593386223771,31.806722972289815,South,Arkansas
5054.151472461697,243.39515493033696,281.3525819475994,1189.0448377899256,162.0879028289868,1259.0406923839118,130.59714068092507,54.745478811245846,284.4279339700857,84.17196357435105,227.99733076295692,South,California
685.9088212891876,27.530719817736944,45.308782194301585,148.52265144212944,16.64060340934368,130.11266741710872,13.017585958195435,9.478824726841337,33.8288722473493,19.231482168013642,49.07924803008958,South,Colorado
621.9372864104829,17.125076673160013,29.805637752178868,144.0149436831427,14.57632602438712,151.7875799591526,14.660582244181267,12.680561079018855,27.699232257325235,7.793700330958432,28.204769576090104,North,Connecticut
165.24751107126727,4.276003154552869,9.689465276326699,40.148088731910185,4.718348308472131,38.10487540190217,2.8015193081553282,3.1385441873319087,8.804774968488173,2.2117257695963115,7.11965057260527,South,Delaware
96.66294815883309,2.527686593824356,3.180672297228982,22.538538794933842,3.2017363521775177,24.666008344736007,2.0221492750594847,1.263843296912178,4.402387484244087,0.7793700330958432,3.896850165479216,South,District of Columbia
3664.6400237265516,94.9356956530531,216.51742081600463,877.9708743099416,107.27923185289538,861.9200644391568,51.67012678875955,63.44493350499134,177.16976617213882,60.66447825178455,187.49115309692164,South,Florida
1500.7717869733144,46.720073875853515,80.82277883753379,328.6413853070634,44.6768605458455,332.2433387032631,30.690328060017393,33.09163032415053,75.07229183658337,24.3711115754565,79.7274479802099,South,Georgia
209.0186172543257,4.149618824861651,6.6983694736345445,47.98391717276569,5.560910506413584,48.70009504101593,6.845817858274298,4.233875044655797,13.080778123041043,3.8125939456850704,10.890116408393267,South,Hawaii
253.3373888660461,8.615198473951347,17.356781277593914,54.1978133825839,8.278173594774767,53.123546580208554,4.5708999238323775,3.2438644620745904,13.122906232938114,5.9189994405387,14.955479013460774,North,Idaho
2146.5535835855403,61.29639990024063,113.53525617261067,505.684767149511,56.72549997640826,526.3275409990765,51.05926919525199,50.25883510720762,113.15610318353701,25.824531366905507,87.75285291560223,North,Illinois
1225.9701261147097,43.349825084087705,85.60431931085154,277.62424422170847,38.08381134695363,281.66854277182745,21.717040651940927,28.794563114649126,65.86729982407302,18.557432409660482,56.85188430609948,North,Indiana
593.6693246695471,29.616061257642038,38.61041272066704,136.51614012146376,16.219322310372952,141.8874741333405,13.90227626603396,6.656241363737471,30.16372668630398,8.889031188282319,28.836691224546197,North,Iowa
529.0448040874377,16.745923684086357,34.69249850023929,114.58845892003747,14.97654306840931,112.20822071085288,13.628443551702986,12.090767540459836,28.18370552114157,8.299237649723302,28.078385246398888,South,Kansas
897.8764062363084,30.732456169914464,63.61344594457963,205.01644681410383,26.70922167474403,208.63946426525206,20.242556805543387,20.45319735502875,43.476209413778925,14.218237090262003,54.935055305782676,South,Kentucky
861.3092068456493,29.616061257642038,40.105960622013114,194.48441933983565,26.64602950989842,206.02752145163356,17.925510761204393,24.623880234838936,43.62365779841868,12.069703485511301,44.04493889738941,South,Louisiana
273.85377838592046,10.131810430245961,17.735934266667563,67.4260398902647,7.435611396833314,55.77761750372413,6.361344594457964,5.413462121773829,13.270354617577869,4.950052912906031,12.090767540459836,North,Maine
921.4470837237205,19.421058662550468,43.181312644499414,215.88549916754857,27.320079268251586,222.3732280916977,21.822360926683608,15.018671178306382,48.573710711324715,11.753742661283255,33.04950221425345,South,Maryland
1131.3503912858846,38.31551595138753,55.84080966856973,271.6209885613756,24.013022641331382,247.81860646952958,29.868829917024474,25.993043806493795,51.94395950309052,12.322472144893736,46.846458205544735,North,Massachusetts
1885.4014303335873,60.5802220319904,109.36457329280049,430.1280020491113,59.211058460335536,492.0141954879109,36.862096159938524,34.58717822549661,93.56653208139825,25.719211092162823,83.22408110166693,North,Michigan
838.7706680507156,30.56394373032617,45.70899923832378,199.876817406661,25.045161333809663,152.5037578274028,14.323557365004683,14.660582244181267,45.371974359147195,14.386749529850295,48.84754342565569,North,Minnesota
616.7134007832458,20.537453574822894,35.682509082820495,132.24013696691088,20.979798728742157,154.5048430475138,12.70162513396739,13.986532485828103,32.1437478514664,8.193917374980622,36.31443073127658,South,Mississippi
1176.3853407658553,40.59043388582945,73.55567988028876,262.7319573730933,30.2901110159952,290.89459883928635,25.382186212986245,26.224748410927692,63.887278658910596,19.65276326698437,66.75199013191154,North,Missouri
191.9988608559084,5.434526176722366,13.417803002217624,42.5915191059404,5.308141847031147,40.464049556138235,3.2859925719716627,2.1906617146477756,9.689465276326699,4.886860748060422,12.828009463658606,South,Montana
325.98731438354775,12.575240804276172,22.496410685036768,71.82842737450878,9.689465276326699,68.77413940697102,6.845817858274298,4.5077077589867685,17.061884508314403,4.065362605067506,14.28142925510761,North,Nebraska
428.506069818074,7.351355177039169,26.18262030103062,97.0210370929582,8.42562197941452,106.22602910546857,10.510963419319614,8.678390638796957,18.725944849248773,10.869052353444731,24.32898346555943,South,Nevada
227.97626670800838,8.32030170467184,13.691635716548596,57.715510558989465,5.897935385590165,49.14244019493519,4.634092088677987,3.6230174511482436,10.321386924782788,4.170682879810188,11.648422386540576,North,New Hampshire
1486.2375890588244,41.28554769913115,66.4992214725291,351.93823008014454,46.804330095647664,386.1041272066704,26.47751707031013,31.38544187331909,71.99693981409708,14.513133859541512,56.556987536819975,North,New Jersey
346.5458320133192,8.910095243230856,21.56959226730117,70.10117486872882,12.891201628504215,70.2064951434715,7.477739506730387,5.645166726207729,15.31356794758589,8.846903078385246,28.141577411244498,South,New Mexico
3142.209332892954,53.98717283309854,146.66901460665827,747.1209649696341,84.00345113476277,937.3715092648139,103.52983007205592,46.27772872193425,131.73459964814603,34.92420310467318,116.6316722500455,North,New York
1682.6388373989766,59.569147394460664,99.16957069770889,385.1351806790377,47.98391717276569,358.1521262899627,34.102704961680274,35.91421368725439,90.55437222375755,25.550698652574532,90.51224411386049,South,North Carolina
125.64708776801905,8.636262528899884,7.203906792399415,27.825616587016455,4.360259374347014,27.172630883611827,2.527686593824356,2.3170460443389933,7.0985865176567335,2.232789824544848,6.277088374663817,North,North Dakota
2347.1044507505544,85.03558982724104,147.36412841995997,529.5503414062026,77.26295355123115,553.9425170366076,48.257749887096665,40.92745876500604,119.8755367121201,30.85884049960568,111.11288985352898,North,Ohio
783.056242711837,23.80238209184602,55.54591289929023,168.4492474234448,25.719211092162823,197.9810524612927,18.178279420586826,11.585230221694966,39.26339842407166,14.597390079335655,47.62582823864058,South,Oklahoma
690.6482336526083,27.888808751862065,42.61258316088894,164.3417567084802,23.444293157720903,131.75566370309457,8.446686034363056,6.656241363737471,40.295537116549944,13.818020046239813,36.27230262137951,North,Oregon
2701.1912144354496,73.6399361000829,139.59149214395006,608.6458677379565,72.92375823183268,672.6595307265582,58.36849626239408,60.5170298671448,143.76217502376025,36.798903995092914,130.93416556010166,North,Pennsylvania
201.8147104619263,6.740497583531616,11.079692902930095,45.70899923832378,3.7915298907365345,50.34309132700176,4.760476418369204,3.6651455610453167,8.509878199208666,2.1274695498021665,11.395653727158138,North,Rhode Island
886.2069197948193,32.85992571971663,50.59585998638419,201.0142763738819,22.95981989390457,195.79039074664493,16.177194200475878,16.893372068726112,48.17349366730252,13.860148156136885,48.13136555740545,South,South Carolina
154.0624978935945,8.931159298179391,10.237130704988642,35.07165148931294,5.539846451465047,34.22908929137149,3.7494017808394613,1.0321386924782787,9.352440397150119,2.6961990334126464,8.65732658384842,North,South Dakota
1275.2389506393363,54.53483826176048,77.05231300174579,285.6707132120493,36.81996805004145,299.84682219241427,31.174801323833726,17.061884508314403,67.78412882438981,20.116172475852167,73.408231495649,South,Tennessee
3552.2422265211612,114.06185754632408,191.61970786683474,786.7635163827792,107.2371037429983,802.4141092095418,64.3506878677784,71.55459466017781,190.94565810848155,61.001503130961126,198.2127570657266,South,Texas
321.5638628443552,8.467750089311593,13.628443551702986,57.841894888680685,11.816934826128865,63.950470823756206,7.540931671575995,4.802604528266277,16.472090969755385,10.574155584165224,22.285770135551406,South,Utah
114.44101053539772,5.413462121773829,7.351355177039169,28.3732820156784,3.5387612313540986,25.003033223912592,1.4323557365004684,0.9057543627870609,4.78154047331774,2.527686593824356,6.340280539509427,North,Vermont
1280.7787970908014,38.0627472920051,65.55133899984497,302.81685394015784,34.60824228044515,279.5621372769738,29.932022081870084,29.889893971973013,70.501391912751,22.20151391575726,59.168930350438465,South,Virginia
1046.6939544477173,66.0990044285069,64.87728924149181,252.81078749233268,34.39760173095978,219.88766960777045,15.461016332225645,10.36351503467986,53.86078850340732,21.50640010245556,57.06252485558484,South,Washington
460.6076895596433,12.849073518607144,33.09163032415053,100.72831076390058,16.64060340934368,103.50876601710739,9.584145001584016,9.373504452098654,22.09619364101458,6.445600814252107,30.16372668630398,South,West Virginia
1019.7109000586422,38.0627472920051,55.08250369042243,244.51154984260936,25.21367377339795,237.30764305020998,20.76915817925679,20.621709794617036,53.79759633856172,15.692720936659544,56.45166726207728,North,Wisconsin
92.40800905922876,3.2228004071260536,6.88794596817137,19.71595543182998,2.2749179344419206,19.505314882344614,2.443430374030211,1.7904446706255854,4.5077077589867685,2.780455253206792,6.677305418686007,North,Wyoming
