Year,State_Name,Crime_Prop,Crime_Viol,Burglary,Larceny,Motor,Assault,Murder,Rape,Robbery,Crime_Tot
2011,Alabama,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825
2011,Alaska,402.1970651873521,93.0188666527363,60.07468471322553,312.88547220555824,29.23690826856839,71.07012139636149,0.631921648456089,9.183927957561828,12.13289565035691,495.2159318400884
2011,Arizona,4842.5419764487015,564.2849680163389,1152.098485410193,3273.354139002541,417.0893520359673,352.7807922780859,8.36242981456891,52.63907331639222,150.50267260729186,5406.8269444650405
2011,Arkansas,2326.1035879668634,298.540850785605,716.5148931294108,1488.070161839347,121.51853299810591,219.61383689343947,3.370248791765808,25.908787586699653,49.647977513700056,2624.644438752469
2011,California,20512.640118093517,3263.72786589106,4846.312442284489,12573.239719056062,3093.0879567529673,1920.936491031768,37.74678646777705,161.45598118053076,1143.5886072109843,23776.36798398458
2011,Colorado,2796.9062801215987,338.8153238472064,541.8728135510963,2023.286734026706,231.7467325437964,217.92871249755657,3.2649285170231264,48.13136555740545,69.49031727522126,3135.721603968805
2011,Connecticut,1626.250362301745,208.3024393860755,325.8188019439595,1159.9343138510485,140.49724650673713,113.36674373302237,2.717263088361183,14.513133859541512,77.70529870515041,1834.5528016878206
2011,Delaware,656.4191443612368,108.35349865527073,160.44490654300103,463.4302729227472,32.543964895488585,68.05796153872079,1.0110746375297424,6.4666648692006445,32.81779760981956,764.7726430165075
2011,District of Columbia,624.6334854438954,156.56912043247033,81.09661155186475,449.6543809864044,93.8824929056263,64.41388003262401,2.2749179344419206,3.64408150609678,86.23624095930761,781.2026058763657
2011,Florida,14138.193681457564,2068.4480678363675,3584.491294647371,9719.123465694238,834.5789211159569,1396.947060131979,20.72703006935972,111.07076174363192,539.7032158913971,16206.641749293933
2011,Georgia,7524.817669540365,774.3567880180915,2022.4441718287644,4877.234474948941,625.1390227626604,460.90258632892284,11.56416616674643,43.518337523675996,258.37169799874624,8299.174457558458
2011,Hawaii,924.1643468120817,72.98695039667828,171.9880086547989,658.0410765922741,94.13526156500873,44.19238728202916,0.421281098970726,7.435611396833314,20.937670618845083,997.15129720876
2011,Idaho,692.4808064331309,67.44710394521324,145.65793996912853,518.7866093275006,28.036257136501817,53.39737929453952,0.7372419231987706,9.352440397150119,3.960042330324825,759.9279103783441
2011,Illinois,7255.892880012403,1148.4754679590449,1637.0772865452927,4999.8062106944735,619.0093827726363,642.3483556556145,16.45102691480685,63.82408649406499,425.8519988945584,8404.368347971447
2011,Indiana,4339.532344277654,455.38380393240635,1065.2303228024293,2962.23804741266,312.0639740625653,264.94368314268957,6.445600814252107,37.03060859952682,146.96391137593778,4794.916148210061
2011,Iowa,1517.5177106574008,166.04794515931164,370.15863761062843,1063.144981362524,84.21409168424813,129.52287387854972,0.9268184177355971,18.24147158543244,17.356781277593914,1683.5656558167125
2011,Kansas,1867.4337914624857,215.04293696960707,394.1505961970113,1332.491051989458,140.79214327601665,158.57020565258128,2.3381100992875297,23.63386965225773,30.500751565480563,2082.476728432093
2011,Kentucky,2507.4019089089156,220.4353350364324,689.8477995645638,1676.40387713421,141.15023221014175,107.6373207870205,3.180672297228982,31.575018367855915,78.042323584327,2727.837243945348
2011,Louisiana,3549.9041164218743,534.4582662092116,974.0440289302156,2383.903354745647,191.9567327460113,386.94668940461185,10.658411803959368,26.582837345052813,110.27032765558755,4084.3623826310854
2011,Maine,712.5759148540345,34.50292200570246,165.668792170238,524.2000714492743,22.707051234522133,17.862318596358783,0.5476654286619439,8.299237649723302,7.793700330958432,747.078836859737
2011,Maryland,3514.4533119434877,607.0028714519706,754.5776404214159,2421.3341803891963,338.5414911328754,355.47699131149864,8.404557924465985,25.27686593824356,217.84445627776242,4121.4561833954585
2011,Massachusetts,3134.9422339357093,594.6803993070769,766.794792291567,2141.0348011890237,227.1126404551184,413.4031424199734,3.875786110530679,34.83994688487904,142.5615238916937,3729.622633242786
2011,Michigan,5294.007866160679,921.1521869544409,1469.3231529351497,3300.0212325673883,524.6634806581421,600.4730144179243,12.996521903246897,91.5022546964417,216.18039593682803,6215.160053115121
2011,Minnesota,2868.566195056519,259.5723491308128,540.9459951333607,2155.9902802024844,171.62991972067377,142.18237090262005,1.5798041211402225,44.5083481062572,71.30182600079539,3128.1385441873317
2011,Mississippi,1891.7417108730967,168.70201608282724,647.1298961289323,1141.2294330567483,103.38238168741617,93.06099476263337,4.886860748060422,18.178279420586826,52.575881151546604,2060.443726955924
2011,Missouri,4193.53737942935,566.3703094562441,945.2494658155666,2925.354887197773,322.93302641601,395.5408238236147,7.709444111164286,30.943096719399826,132.1769448020653,4759.907688885593
2011,Montana,503.1149524457896,58.03147138321751,70.501391912751,402.09174491260944,30.5218156204291,46.10921628234597,0.6108575935075528,7.709444111164286,3.6019533961997077,561.1464238290071
2011,Nebraska,1072.0340125508067,98.4112647195616,183.78387942597922,801.6979313412916,86.55220178353566,61.338528010137715,1.4323557365004684,14.723774409026875,20.916606563896547,1170.445277270368
2011,Nevada,1476.0636505186812,325.48177706478293,428.48500576312546,845.8481905134237,201.73045424213217,212.57844254062834,2.927903637846546,19.231482168013642,90.74394871829439,1801.5454275834643
2011,New Hampshire,689.9741838942551,60.32745337260796,131.52395909866067,534.9848675829251,23.46535721266944,37.03060859952682,0.3370248791765808,12.238215925099592,10.721603968804978,750.301637266863
2011,New Jersey,3996.2514407813587,573.005486765033,910.7676078648127,2718.6533159877863,366.83051692875966,286.639659739682,8.004340880443793,21.19043927822752,257.17104686667966,4569.256927546392
2011,New Mexico,1549.2401774098962,250.74651010737614,451.170992942699,984.3232877451013,113.74589672209602,193.15738387807787,3.3281206818687354,18.030831035947074,36.23017451148244,1799.9866875172727
2011,New York,7832.394999898892,1631.6848884784674,1373.9451121281772,6052.987894066339,405.46199370437523,959.2149342464461,16.198258255424417,57.947215163423365,598.3244808131736,9464.079888377359
2011,North Carolina,7115.564145945254,703.9817804350317,2222.97397493883,4538.313830826991,354.27634017943205,453.21420627270703,10.489899364371079,41.26448364418261,199.013191153771,7819.545926380285
2011,North Dakota,280.868108683783,35.787829357563176,51.775447063502234,208.34456749597254,20.748094124308256,27.76242442217085,0.5055373187648712,5.6030386163106565,1.9168290003168036,316.65593804134625
2011,Ohio,8016.389519874358,741.8338871775514,2378.152867744697,5197.429174221641,440.80747790801917,316.97189886557425,10.53202747426815,77.49465815566505,336.83530268204396,8758.223407051908
2011,Oklahoma,2688.1525644223057,364.63985521411195,768.0375715335306,1686.4724953996106,233.64249748916467,261.21534541679864,4.465579649089696,29.700317477436187,69.25861267078736,3052.7924196364174
2011,Oregon,2567.0553125231704,203.12068186873555,436.11019365449556,1939.1358345073033,191.80928436137154,128.1326462519463,1.7693806156770493,26.098364081236475,47.12029091987571,2770.175994391906
2011,Pennsylvania,5970.437862723026,972.9276340179432,1220.999009146855,4394.046118484467,355.3927350917045,548.6343751895764,13.459931112114697,70.3328794731627,340.5004482430893,6943.365496740969
2011,Rhode Island,589.2880012402516,54.47164609691487,143.99387962819415,395.2669911092837,50.027130502773716,31.659274587650064,0.421281098970726,6.719433528583081,15.671656881711009,643.7596473371664
2011,South Carolina,3859.8406209346376,587.5607487344715,997.4040658681423,2575.1860377333055,287.2505173331895,447.92712848062445,6.740497583531616,35.34548420364391,97.54763846667161,4447.401369669109
2011,South Dakota,322.2589766576569,44.33983566666891,61.65448883436576,240.61469967713018,19.98978814616095,29.805637752178868,0.421281098970726,10.59521963911376,3.5176971764055622,366.59881232432576
2011,Tennessee,4863.690287617032,819.2864172233194,1323.4545724165357,3242.3478501182954,297.8878650822004,596.9131891316217,8.004340880443793,44.12919511718355,170.2396920940704,5682.976704840351
2011,Texas,18806.198898602695,2206.1227309800006,4544.675175421449,12915.02507465101,1346.4986485302345,1421.7815809163033,23.80238209184602,157.68551534474275,602.853252627109,21012.321629582693
2011,Utah,1771.1499962927264,116.84231279953086,277.4136036722231,1363.4130846539092,130.3233079665941,74.08228125400217,1.053202747426815,18.97871350863121,22.72811528947067,1887.992309092257
2011,Vermont,317.7723329536187,19.484250827396078,80.84384289248233,225.80666904830912,11.121821012827168,14.091852760570784,0.23170460443389929,3.0753520224863,2.085341439905094,337.25658378101474
2011,Virginia,3852.657778197187,337.31977594586033,645.7396685023289,3001.122292847658,205.79581684719966,183.1308937225746,6.4034727043550355,33.51291142312125,114.27249809580944,4189.977554143047
2011,Washington,5144.031794927101,424.48283532290355,1191.4040119441618,3429.8179391602685,522.8098438226709,253.65334969027413,3.4334409566114172,48.868607480604226,118.52743719541377,5568.514630250005
2011,West Virginia,821.6877194874526,115.78911005210404,215.80124294775442,561.4834487081837,44.40302783151452,89.22733676199977,1.8325727805226584,7.835828440855504,16.893372068726112,937.4768295395565
2011,Wisconsin,2947.114055959611,300.54193600571597,572.2471807868857,2200.6039485834845,174.26292658924083,175.67421827079275,2.9068395828980096,25.0662253887582,96.89465276326698,3247.6559919653273
2011,Wyoming,271.2628996272505,26.224748410927692,39.26339842407166,221.0251285749914,10.974372628187412,21.274695498021664,0.3791529890736534,3.0753520224863,1.4955479013460773,297.4876480381782
